Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
-men,blanketblend-bundle,BlanketBlend Bundle - Marble/BlueSky,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-, the-softest-hoodies-ever, blanketblend",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-bundle,Sizes,"S,M,L|S",,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/marble_and_sky_blue.png?v=1580413155,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,blanketblend-bundle,BlanketBlend Bundle - NudeRose/Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-, the-softest-hoodies-ever, blanketblend",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-bundle,Sizes,"S,M,L|S,M,OS,L",,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/nuderose_and_oatmilk.png?v=1580413155,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,blanketblend-bundle,BlanketBlend Bundle - HazyBlack/Moss,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-, the-softest-hoodies-ever, blanketblend",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-bundle,Sizes,"S,M,L|S,M,OS",,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/sapphire_and_MOSS.png?v=1580413155,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,blanketblend-bundle,BlanketBlend Bundle - HazyBlack/NudeRose,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-, the-softest-hoodies-ever, blanketblend",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-bundle,Sizes,"S,M,L|S,M,OS,L",,0,,deny,manual,199.00,236.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/sapphire_and_nuderose.png?v=1580413149,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,blanketblend-hoodie-limited-edition,BlanketBlend Hoodie <br> (Limited Edition) - Marble,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>These limited edition hoodies are made in small batches right here in California Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-socks, the-softest-hoodies-ever, _tab1_blanketblend-size-guide, _tab2_blanketblend-fabric, blanketblend, dye, large, medium, pastel-pebble, pastelpebble, small, tie-die, tie-dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-hoodie-limited-edition,Sizes,"S,M,L|S,M",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FullSizeRender-1.jpg?v=1575481494,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,blanketblend-hoodie-limited-edition,BlanketBlend Hoodie <br> (Limited Edition) - BlueSky,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>These limited edition hoodies are made in small batches right here in California Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-socks, the-softest-hoodies-ever, _tab1_blanketblend-size-guide, _tab2_blanketblend-fabric, blanketblend, dye, large, medium, pastel-pebble, pastelpebble, small, tie-die, tie-dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-hoodie-limited-edition,Sizes,"S,M,L|S,OS",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/feat-hoodie-3-s1.jpg?v=1575481494,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,blanketblend-hoodie-limited-edition,BlanketBlend Hoodie <br> (Limited Edition) - CarmelSwirl,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>These limited edition hoodies are made in small batches right here in California Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-socks, the-softest-hoodies-ever, _tab1_blanketblend-size-guide, _tab2_blanketblend-fabric, blanketblend, dye, large, medium, pastel-pebble, pastelpebble, small, tie-die, tie-dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-hoodie-limited-edition,Sizes,"S,M,L|S,OS",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/tiedye-2-s1_1800x1800_528d5116-6c1a-48d8-8e38-53e159689fc0.jpg?v=1578975184,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,blanketblend-hoodie-limited-edition,BlanketBlend Hoodie <br> (Limited Edition) - PastelPebble,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>These limited edition hoodies are made in small batches right here in California Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-socks, the-softest-hoodies-ever, _tab1_blanketblend-size-guide, _tab2_blanketblend-fabric, blanketblend, dye, large, medium, pastel-pebble, pastelpebble, small, tie-die, tie-dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/blanketblend-hoodie-limited-edition,Sizes,"S,M,L|S,M,OS,L",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/tiedye-1-s1_1800x1800_ce935929-68a7-4cea-a1eb-f6383423bf97.jpg?v=1578975681,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,sunsetlover,BlanketBlend Hoodie - SunsetLover,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-socks, the-softest-hoodies-ever, _tab1_blanketblend-size-guide, _tab2_blanketblend-fabric, blanketblend, dye, large, medium, rainbow, small, sunselover, sunset, tie-dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/sunsetlover,Sizes,"S,M,L|S",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/IMG_0318.jpg?v=1579895148,1,,FALSE,,,,,,,,,,,,,,,,,,,
-men,sunsetlover,BlanketBlend Hoodie - Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",-men,,"feat-socks, the-softest-hoodies-ever, _tab1_blanketblend-size-guide, _tab2_blanketblend-fabric, blanketblend, dye, large, medium, rainbow, small, sunselover, sunset, tie-dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/collections/the-softest-hoodies-ever/products/sunsetlover,Sizes,"S,M,L|S,M,OS,L",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/hoodie-oat-s1_fcaae449-d678-4199-9dcb-30c0087a7ed3.jpg?v=1579895148,1,,FALSE,,,,,,,,,,,,,,,,,,,
